event_id,title,category,location,is_free
09b1058188348630d98a08e0,Event Title 1,tech,Bahir Dar,True
408f66def075926baea9466e,Event Title 2,art,Mekelle,False
76f744e0c2379cc117cbe775,Event Title 3,art,Bahir Dar,True
8b6ba5fc5af52f8b742e2bb7,Event Title 4,sports,Hawassa,True
3292f6cb599e98e18e0664dc,Event Title 5,education,Bahir Dar,False
51823bd67c7729769ecfadad,Event Title 6,tech,Bahir Dar,False
bb881c09c72e0d003ec01b5f,Event Title 7,art,Mekelle,True
1f0a3f9653ca2678505c2d13,Event Title 8,art,Bahir Dar,True
da6b4f52f7c1834bd745913e,Event Title 9,education,Addis Ababa,False
83c5d28bae3548db1d9c16b2,Event Title 10,education,Addis Ababa,True
3eca197b112c5ebcdd6e50f9,Event Title 11,art,Mekelle,False
7869a7880ebadaf6a7f9f992,Event Title 12,music,Addis Ababa,True
9382b80e5294ad977c03f722,Event Title 13,sports,Bahir Dar,False
b831e9b8edf0dbb605307e41,Event Title 14,art,Bahir Dar,True
c8ab2eb6b8ac6288e9523277,Event Title 15,education,Addis Ababa,False
abddabc7a8d929d3c795ca10,Event Title 16,music,Hawassa,True
62b28eb922a79e95635c297e,Event Title 17,education,Addis Ababa,True
79a09ecb26d609cecacd8236,Event Title 18,tech,Bahir Dar,True
87242a51d6b512dd4ec17d09,Event Title 19,education,Mekelle,False
51d06a96c96e67bd71b71d13,Event Title 20,tech,Bahir Dar,True
cb57e7ba4b4355df59730ad4,Event Title 21,music,Hawassa,True
26beff2402e37057c6237188,Event Title 22,tech,Bahir Dar,False
7c6a27fc3c8341c8e3fe6310,Event Title 23,education,Hawassa,True
cf9a9ce03dd09798ce18b97d,Event Title 24,education,Addis Ababa,True
cb69a13e8c9982ee331beb6b,Event Title 25,music,Addis Ababa,False
283387f8b7930fc2225ed051,Event Title 26,art,Hawassa,False
cc244ce1413726a66da899fc,Event Title 27,education,Addis Ababa,False
afbc6fdb2bc8a05ca85ed013,Event Title 28,art,Mekelle,True
53cdb8e71ab6222294fd20e6,Event Title 29,tech,Addis Ababa,True
762fb87410dc57d72623be6a,Event Title 30,art,Mekelle,True
06c4ae51c0e6df5975bf9d01,Event Title 31,education,Hawassa,False
43fa52af8500e2faaf83d75e,Event Title 32,tech,Bahir Dar,True
8dcceb263351ab1885e8ecc3,Event Title 33,sports,Addis Ababa,False
1cabbd4c86fed3061ac9eb42,Event Title 34,education,Hawassa,False
a6c438eecad12d90f9f0dfeb,Event Title 35,art,Bahir Dar,False
22ca22ef638c2f8b60467ce9,Event Title 36,art,Mekelle,True
4af6859a2317ecd42f27db1f,Event Title 37,art,Addis Ababa,True
9193c6a77939daf3076cdd3e,Event Title 38,art,Hawassa,True
257eca7c199ee932c2d395ac,Event Title 39,sports,Bahir Dar,False
416da05c17ae131599394cf9,Event Title 40,art,Addis Ababa,False
822b384b1d26bcdf7490e927,Event Title 41,music,Bahir Dar,False
8e0695a9db61bd374a7d2f34,Event Title 42,art,Hawassa,True
f9657f0f66bba47f9fe3e171,Event Title 43,music,Mekelle,True
56fe2b9519018b4c98730f96,Event Title 44,tech,Mekelle,True
e9b2d04ca6c5493bb75c2bac,Event Title 45,sports,Addis Ababa,False
dd2cfd7129035a43ea95331e,Event Title 46,education,Mekelle,False
d08b124acc526365bce2a0d3,Event Title 47,music,Addis Ababa,False
51d1e3c5709d717719458909,Event Title 48,art,Mekelle,True
6f0634544a86c0a5cae12512,Event Title 49,music,Mekelle,True
bea2d72058acff5966d0f5fd,Event Title 50,sports,Hawassa,False
bfe986a5d08407bdadf7a1d7,Event Title 51,sports,Mekelle,False
129065f279993a1d401f3ad9,Event Title 52,sports,Mekelle,True
60fbce8ccb954954f415256b,Event Title 53,tech,Addis Ababa,True
821db9868ee60a89a4fcebed,Event Title 54,sports,Hawassa,False
04cc541a042bf7d4c52a1d69,Event Title 55,art,Addis Ababa,True
dd8d71e7ed4713dd604d0491,Event Title 56,art,Mekelle,False
8b459d74bdf2b7e2b7ab6cb4,Event Title 57,sports,Addis Ababa,True
a08feb7d4597c20caa7f743a,Event Title 58,music,Mekelle,False
583dd5d1086b9d8c4ab7314e,Event Title 59,tech,Addis Ababa,False
294758b9cf3a36639485ee02,Event Title 60,education,Hawassa,False
ce15aa770eb225d9a18103e2,Event Title 61,tech,Bahir Dar,False
61372e9989523f24017b9980,Event Title 62,music,Hawassa,True
9de91ba4dc22dcfabc3232be,Event Title 63,art,Addis Ababa,True
99a9039ac1448dcf58b178cf,Event Title 64,art,Addis Ababa,True
130f08f913e00bf46fbe15cc,Event Title 65,education,Bahir Dar,False
